"edition_id","country_noc","participants"
21,"LIE",7
21,"LUX",5
21,"MAD",5
21,"MAR",21
21,"MAS",6
21,"MAW",16
21,"MEX",102
21,"MLI",4
21,"MLT",7
21,"MON",8
21,"MOZ",9
21,"MRI",4
21,"MTN",2
21,"MYA",1
21,"NCA",6
21,"NED",85
21,"NEP",11
21,"NGR",29
21,"NIG",4
21,"NOR",76
21,"NZL",82
21,"OMA",17
21,"PAK",13
21,"PAN",8
21,"PAR",16
21,"PER",26
21,"PHI",20
21,"PNG",7
21,"POR",38
21,"PUR",47
21,"QAT",10
21,"ROU",85
21,"RWA",3
21,"SAM",8
21,"SEN",22
21,"SEY",9
21,"SGP",7
21,"SLE",7
21,"SMR",19
21,"SOL",3
21,"SOM",7
21,"SRI",3
21,"SUD",7
21,"SUI",114
21,"SUR",5
21,"SWE",153
21,"SWZ",8
21,"SYR",9
21,"TAN",19
21,"TGA",7
21,"THA",34
21,"TOG",6
21,"TPE",39
21,"TTO",14
21,"TUN",12
21,"TUR",47
21,"UAE",8
21,"UGA",27
21,"URU",6
21,"USA",363
21,"VEN",28
21,"YAR",2
21,"YUG",62
21,"ZAM",16
21,"ZIM",16
22,"AFG",5
22,"AHO",3
22,"ALG",31
22,"AND",3
22,"ANG",25
22,"ANT",16
22,"ARG",52
22,"ARU",9
22,"ASA",6
22,"AUS",170
22,"AUT",79
22,"BAH",15
22,"BAN",7
22,"BAR",17
22,"BEL",58
22,"BEN",5
22,"BER",11
22,"BHU",4
22,"BIZ",10
22,"BOL",7
22,"BOT",8
22,"BRA",109
22,"BRN",12
22,"BUL",122
22,"BUR",6
22,"CAF",4
22,"CAN",267
22,"CAY",6
22,"CGO",5
22,"CHA",6
22,"CHI",16
22,"CHN",213
22,"CIV",12
22,"CMR",15
22,"COD",16
22,"COK",7
22,"COL",38
22,"CRC",18
22,"CYP",9
22,"DEN",85
22,"DJI",6
22,"DOM",17
22,"ECU",16
22,"EGY",45
22,"ESA",6
22,"ESP",171
22,"FIJ",21
22,"FIN",80
22,"FRA",237
22,"FRG",267
22,"GAB",3
22,"GAM",6
22,"GBR",289
22,"GDR",192
22,"GEQ",6
22,"GHA",13
22,"GRE",35
22,"GRN",6
22,"GUA",12
22,"GUI",6
22,"GUM",19
22,"GUY",8
22,"HAI",4
22,"HKG",53
22,"HON",8
22,"HUN",155
22,"INA",31
22,"IND",32
22,"IRI",26
22,"IRL",55
22,"IRQ",12
22,"ISL",17
