"edition_id","year","code","participants"
20,1980,"GBR",187
20,1980,"GDR",241
20,1980,"GRE",28
20,1980,"GUA",9
20,1980,"GUI",9
20,1980,"GUY",8
20,1980,"HUN",184
20,1980,"IND",34
20,1980,"IRL",40
20,1980,"IRQ",27
20,1980,"ISL",9
20,1980,"ITA",113
20,1980,"JAM",19
20,1980,"JOR",4
20,1980,"KUW",31
20,1980,"LAO",19
20,1980,"LBA",21
20,1980,"LBN",15
20,1980,"LES",5
20,1980,"LUX",3
20,1980,"MAD",11
20,1980,"MEX",48
20,1980,"MGL",43
20,1980,"MLI",7
20,1980,"MLT",9
20,1980,"MOZ",14
20,1980,"MYA",2
20,1980,"NCA",5
20,1980,"NED",56
20,1980,"NEP",11
20,1980,"NGR",28
20,1980,"NZL",5
20,1980,"PER",19
20,1980,"POL",206
20,1980,"POR",11
20,1980,"PRK",49
20,1980,"PUR",3
20,1980,"ROU",155
20,1980,"SEN",21
20,1980,"SEY",12
20,1980,"SLE",16
20,1980,"SMR",16
20,1980,"SRI",1
20,1980,"SUI",44
20,1980,"SWE",112
20,1980,"SYR",53
20,1980,"TAN",26
20,1980,"TCH",125
20,1980,"TTO",8
20,1980,"UGA",13
20,1980,"URS",314
20,1980,"VEN",22
20,1980,"VIE",31
20,1980,"YUG",72
20,1980,"ZAM",25
20,1980,"ZIM",28
21,1984,"AHO",9
21,1984,"ALG",19
21,1984,"AND",2
21,1984,"ANT",15
21,1984,"ARG",70
21,1984,"AUS",165
21,1984,"AUT",85
21,1984,"BAH",20
21,1984,"BAN",1
21,1984,"BAR",15
21,1984,"BEL",63
21,1984,"BEN",3
21,1984,"BER",11
21,1984,"BHU",6
21,1984,"BIZ",10
21,1984,"BOL",11
21,1984,"BOT",7
21,1984,"BRA",78
21,1984,"BRN",11
21,1984,"CAF",3
21,1984,"CAN",270
21,1984,"CAY",8
21,1984,"CGO",10
21,1984,"CHA",3
21,1984,"CHI",27
21,1984,"CHN",143
21,1984,"CIV",14
21,1984,"CMR",33
21,1984,"COD",8
21,1984,"COL",39
21,1984,"CRC",12
21,1984,"CYP",10
21,1984,"DEN",39
21,1984,"DJI",3
21,1984,"DOM",21
21,1984,"ECU",11
21,1984,"EGY",82
21,1984,"ESA",10
21,1984,"ESP",124
21,1984,"FIJ",14
21,1984,"FIN",88
21,1984,"FRA",189
21,1984,"FRG",258
21,1984,"GAB",4
21,1984,"GAM",9
21,1984,"GBR",286
21,1984,"GEQ",4
21,1984,"GHA",20
21,1984,"GRE",50
21,1984,"GRN",7
21,1984,"GUA",26
21,1984,"GUI",1
21,1984,"GUY",10
21,1984,"HAI",4
21,1984,"HKG",52
21,1984,"HON",12
21,1984,"INA",16
21,1984,"IND",33
21,1984,"IRL",43
21,1984,"IRQ",9
21,1984,"ISL",15
21,1984,"ISR",31
21,1984,"ISV",30
21,1984,"ITA",197
21,1984,"IVB",7
21,1984,"JAM",45
21,1984,"JOR",13
21,1984,"JPN",186
21,1984,"KEN",45
21,1984,"KOR",119
21,1984,"KSA",24
21,1984,"KUW",25
21,1984,"LBN",22
21,1984,"LBR",6
21,1984,"LES",4
21,1984,"LIE",7
21,1984,"LUX",5
21,1984,"MAD",5
